Model,Mean Error,Anomaly Percentage,Anomaly Threshold
LSTM_TestNumber200_Completeness0.98_SequenceLength2776_Horizon3_WindowSize12.pt,0.21186781116992756,0.5269320843091335,1.5
LSTM_TestNumber201_Completeness0.98_SequenceLength2776_Horizon3_WindowSize24.pt,0.22799794542669435,0.43968928623772535,1.6
LSTM_TestNumber202_Completeness0.98_SequenceLength2776_Horizon3_WindowSize48.pt,0.23635124991355375,0.33803644914756026,1.6
LSTM_TestNumber203_Completeness0.98_SequenceLength2776_Horizon3_WindowSize96.pt,0.22297973293837373,0.2660753880266075,1.6
LSTM_TestNumber205_Completeness0.98_SequenceLength2776_Horizon6_WindowSize3.pt,0.4298239724171725,0.1170103846716396,2.4
LSTM_TestNumber206_Completeness0.98_SequenceLength2776_Horizon6_WindowSize6.pt,0.33300326983481393,0.3803950256035113,2.2
LSTM_TestNumber207_Completeness0.98_SequenceLength2776_Horizon6_WindowSize12.pt,0.31522802203789274,0.24890190336749632,2.1
LSTM_TestNumber208_Completeness0.98_SequenceLength2776_Horizon6_WindowSize24.pt,0.3296774690883362,0.1906158357771261,2.0
LSTM_TestNumber209_Completeness0.98_SequenceLength2776_Horizon6_WindowSize48.pt,0.27458300980360034,0.4117041611527716,2.0
LSTM_TestNumber20_Completeness1_SequenceLength216_Horizon12_WindowSize48.pt,0.6501533686583534,0.0,3.6
LSTM_TestNumber210_Completeness0.98_SequenceLength2776_Horizon6_WindowSize96.pt,0.3794458122195425,0.08871802454532013,2.2
LSTM_TestNumber212_Completeness0.98_SequenceLength2776_Horizon12_WindowSize3.pt,0.5635806034297783,0.11709601873536299,3.1
LSTM_TestNumber213_Completeness0.98_SequenceLength2776_Horizon12_WindowSize6.pt,0.4617286450063956,0.10248901903367495,3.0
LSTM_TestNumber214_Completeness0.98_SequenceLength2776_Horizon12_WindowSize12.pt,0.3968928015526435,0.05860805860805861,2.6
LSTM_TestNumber215_Completeness0.98_SequenceLength2776_Horizon12_WindowSize24.pt,0.3691087806067824,0.1613849765258216,2.4
LSTM_TestNumber216_Completeness0.98_SequenceLength2776_Horizon12_WindowSize48.pt,0.41668724746645536,0.014714537963507945,2.8
LSTM_TestNumber217_Completeness0.98_SequenceLength2776_Horizon12_WindowSize96.pt,0.43256311900943334,0.0,3.0
LSTM_TestNumber219_Completeness0.98_SequenceLength2776_Horizon24_WindowSize3.pt,0.7710231325738277,0.04396892862377254,3.7
LSTM_TestNumber21_Completeness1_SequenceLength216_Horizon12_WindowSize96.pt,0.7061846709131944,0.0,3.6
LSTM_TestNumber220_Completeness0.98_SequenceLength2776_Horizon24_WindowSize6.pt,0.7456748412342661,0.0,3.5
LSTM_TestNumber221_Completeness0.98_SequenceLength2776_Horizon24_WindowSize12.pt,0.519784403040196,0.08802816901408451,3.3
LSTM_TestNumber222_Completeness0.98_SequenceLength2776_Horizon24_WindowSize24.pt,0.46136124076129315,0.0,3.0
LSTM_TestNumber223_Completeness0.98_SequenceLength2776_Horizon24_WindowSize48.pt,0.5197032534158973,0.0,3.6
LSTM_TestNumber224_Completeness0.98_SequenceLength2776_Horizon24_WindowSize96.pt,0.5441254859904812,0.0,3.6
LSTM_TestNumber226_Completeness0.98_SequenceLength3470_Horizon3_WindowSize3.pt,0.22335001686392314,0.42397660818713445,1.6
LSTM_TestNumber227_Completeness0.98_SequenceLength3470_Horizon3_WindowSize6.pt,0.22184494050694678,0.49729413485446833,1.6
LSTM_TestNumber228_Completeness0.98_SequenceLength3470_Horizon3_WindowSize12.pt,0.21307624562321922,0.4830210772833724,1.6
LSTM_TestNumber229_Completeness0.98_SequenceLength3470_Horizon3_WindowSize24.pt,0.2012508804360619,0.5276271434852704,1.4
LSTM_TestNumber230_Completeness0.98_SequenceLength3470_Horizon3_WindowSize48.pt,0.21714264538031752,0.4556143445032334,1.5
LSTM_TestNumber231_Completeness0.98_SequenceLength3470_Horizon3_WindowSize96.pt,0.1901179695259689,0.4138950480413895,1.5
LSTM_TestNumber233_Completeness0.98_SequenceLength3470_Horizon6_WindowSize3.pt,0.3482107916617483,0.27789966359514406,2.3
LSTM_TestNumber234_Completeness0.98_SequenceLength3470_Horizon6_WindowSize6.pt,0.31663720700071674,0.3511338697878566,2.2
LSTM_TestNumber235_Completeness0.98_SequenceLength3470_Horizon6_WindowSize12.pt,0.2825947632455044,0.43923865300146414,2.1
LSTM_TestNumber236_Completeness0.98_SequenceLength3470_Horizon6_WindowSize24.pt,0.3936441584103587,0.10263929618768328,2.4
LSTM_TestNumber237_Completeness0.98_SequenceLength3470_Horizon6_WindowSize48.pt,0.3047793532182884,0.22055580061755625,2.0
LSTM_TestNumber238_Completeness0.98_SequenceLength3470_Horizon6_WindowSize96.pt,0.8512835804866759,0.02957267484844004,3.5
LSTM_TestNumber23_Completeness1_SequenceLength216_Horizon24_WindowSize3.pt,0.7765965759356893,0.0,4.1
LSTM_TestNumber240_Completeness0.98_SequenceLength3470_Horizon12_WindowSize3.pt,0.5497567727968308,0.10245901639344264,3.1
LSTM_TestNumber241_Completeness0.98_SequenceLength3470_Horizon12_WindowSize6.pt,0.4528592168442832,0.08784773060029283,3.0
LSTM_TestNumber242_Completeness0.98_SequenceLength3470_Horizon12_WindowSize12.pt,0.3909375446715909,0.0879120879120879,2.6
LSTM_TestNumber243_Completeness0.98_SequenceLength3470_Horizon12_WindowSize24.pt,0.3771251113523618,0.07335680751173708,2.2
LSTM_TestNumber244_Completeness0.98_SequenceLength3470_Horizon12_WindowSize48.pt,0.3507720956700427,0.07357268981753973,2.4
